index,palette_name,number_of_color,palette_rank,img_path
1,Pixelwave,10,205,www/palette/1.png
2,Holy Light,27,207,www/palette/2.png
3,Firestorm,9,206,www/palette/3.png
4,Afternoon,20,208,www/palette/4.png
5,Warioware DIY,14,193,www/palette/5.png
6,Tranquil Fantasy 23,23,136,www/palette/6.png
7,UFO 50,32,156,www/palette/7.png
8,Fantasy 16,16,114,www/palette/8.png
9,Westmost 8,8,182,www/palette/9.png
10,Fantastic 8,8,129,www/palette/10.png
11,DawnBringer 32,32,12,www/palette/11.png
12,Vine's Flexible Linear Ramps,38,15,www/palette/12.png
13,Arq4,4,53,www/palette/13.png
14,Cabana-64,64,57,www/palette/14.png
15,ENOS16,16,92,www/palette/15.png
16,EN4,4,117,www/palette/16.png
17,Endesga 8,8,125,www/palette/17.png
18,Turd32,32,127,www/palette/18.png
19,FuzzyFour,4,138,www/palette/19.png
20,Endesga 32,32,1,www/palette/20.png
21,AAP-64,64,2,www/palette/21.png
22,Zughy 32,32,3,www/palette/22.png
23,Softmilk 32,32,4,www/palette/23.png
24,Famicube,64,5,www/palette/24.png
25,Endesga 36,36,6,www/palette/25.png
26,Fleja  Master Palette,33,7,www/palette/26.png
27,Fantasy 24,24,8,www/palette/27.png
28,Sweetie 16,16,9,www/palette/28.png
29,Endesga 64,64,10,www/palette/29.png
30,Endesga 16,16,11,www/palette/30.png
31,PICO-8,16,13,www/palette/31.png
32,Lux2K,36,14,www/palette/32.png
33,2-bit Grayscale,4,16,www/palette/33.png
34,Kirokaze Gameboy,4,17,www/palette/34.png
35,Nintendo Entertainment System,55,18,www/palette/35.png
36,Linear Color Palette Basic,31,19,www/palette/36.png
37,Nyx8,8,20,www/palette/37.png
38,Links Awakening (SGB),4,21,www/palette/38.png
39,Arcade Standard 29,29,22,www/palette/39.png
40,AAP-Splendor128,128,23,www/palette/40.png
41,Nature’s Embrace 55,55,24,www/palette/41.png
42,Nintendo Super Gameboy,4,25,www/palette/42.png
43,Matriax8c,8,26,www/palette/43.png
44,Pear36,36,27,www/palette/44.png
45,Island Joy 16,16,28,www/palette/45.png
46,BLK 36,36,29,www/palette/46.png
47,Eroge Copper,16,30,www/palette/47.png
48,Rosy 42,42,31,www/palette/48.png
49,DawnBringer's 8 color,8,32,www/palette/49.png
50,Mort vs Zughy,47,33,www/palette/50.png
51,GrafxKid Gameboy Pocket (Gray),4,34,www/palette/51.png
52,DawnBringer 16,16,35,www/palette/52.png
53,Starmancer,52,36,www/palette/53.png
54,Unseven,64,37,www/palette/54.png
55,JMP (Japanese Machine Palette),16,38,www/palette/55.png
56,Oil 6,6,39,www/palette/56.png
57,Psygnosia,16,40,www/palette/57.png
58,Blessing,5,41,www/palette/58.png
59,DB-ISO22,22,42,www/palette/59.png
60,Pokemon (SGB),4,43,www/palette/60.png
61,Nintendo Gameboy (bgb),4,44,www/palette/61.png
62,Rabbit,7,45,www/palette/62.png
63,GB Chocolate,4,46,www/palette/63.png
64,Juice 32,32,47,www/palette/64.png
65,Mail 24,24,48,www/palette/65.png
66,20P DX,20,49,www/palette/66.png
67,darchangel 22,22,50,www/palette/67.png
68,Megaman V (SGB),4,51,www/palette/68.png
69,Commodore 64,16,52,www/palette/69.png
70,AAP-16,16,54,www/palette/70.png
71,EGA-COM Extended,20,55,www/palette/71.png
72,Pineapple 32,32,56,www/palette/72.png
73,Steam Lords,16,57,www/palette/73.png
74,15P DX,15,59,www/palette/74.png
75,Today Land Palette,33,60,www/palette/75.png
76,24P DX,24,61,www/palette/76.png
77,DinoKnight 16,16,62,www/palette/77.png
78,Microsoft Windows,16,63,www/palette/78.png
79,Endesga Soft 16,16,64,www/palette/79.png
80,Super Plum 21,22,65,www/palette/80.png
81,CGA Palette 1 (High),4,66,www/palette/81.png
82,Generic 15,15,67,www/palette/82.png
83,Mother Earth,22,68,www/palette/83.png
84,Ice Cream GB,4,69,www/palette/84.png
85,AAP-Micro12,12,70,www/palette/85.png
86,Taffy 16,16,71,www/palette/86.png
87,Nintendo Gameboy (Arne),4,72,www/palette/87.png
88,Andrew Kensler 54,54,73,www/palette/88.png
89,Grapefruit,4,74,www/palette/89.png
90,Mist GB,4,75,www/palette/90.png
91,Today Land Palette V2,25,75,www/palette/91.png
92,Generic 8,8,77,www/palette/92.png
93,6-bit RGB,64,78,www/palette/93.png
94,Castpixel 16,16,79,www/palette/94.png
95,Battery24,24,80,www/palette/95.png
96,MortMort,21,81,www/palette/96.png
97,SimpleJPC-16,16,82,www/palette/97.png
98,Arne 32,32,83,www/palette/98.png
99,Copper Tech,16,83,www/palette/99.png
100,CGA Palette 2 (High),4,85,www/palette/100.png
101,Bubblegum 16,16,86,www/palette/101.png
102,Color Graphics Adapter,16,87,www/palette/102.png
103,Moonlit-39,39,88,www/palette/103.png
104,MSX,15,89,www/palette/104.png
105,Rustic GB,4,90,www/palette/105.png
106,The Desert Level,11,90,www/palette/106.png
107,Colodore,16,93,www/palette/107.png
108,Crimso 11,16,93,www/palette/108.png
109,CGA Palette 0 (High),4,95,www/palette/109.png
110,Nintendo Gameboy (Black Zero),4,96,www/palette/110.png
111,	Andrade Gameboy,4,97,www/palette/111.png
